Prompt STE violation ranking (worst first)
Scored as procedural: the 20-word sentence limit applies.

rank  prompt            words  viol/100w  total  longest  mean  top violations
1     red_team          263    3.8        10     28       9.3   banned_modal=8 sentence_over_limit=2
2     indicators        244    3.28       8      23       8.6   banned_modal=5 latin_abbrev=2 sentence_over_limit=1
3     high_impact       248    3.23       8      31       9.4   banned_modal=4 sentence_over_limit=2 trailing_condition=2
4     devils_advocacy   314    3.18       10     29       11.3  banned_modal=4 sentence_over_limit=2 contraction=2
5     what_if           267    3          8      19       8.9   banned_modal=5 trailing_condition=3
6     assumptions       298    2.68       8      27       9.8   sentence_over_limit=3 banned_modal=2 trailing_condition=2
7     brainstorming     266    2.63       7      21       9.5   banned_modal=5 sentence_over_limit=1 trailing_condition=1
8     quality           526    2.28       12     23       7.7   banned_modal=6 perfect_tense=2 trailing_condition=2
9     ach               277    2.17       6      28       9.1   latin_abbrev=4 sentence_over_limit=1 banned_modal=1
10    team_ab           281    1.42       4      31       11.3  banned_modal=2 sentence_over_limit=1 trailing_condition=1
11    outside_in        299    1.34       4      28       9.9   banned_modal=2 sentence_over_limit=1 perfect_tense=1
12    alt_futures       278    1.08       3      25       8.5   banned_modal=2 sentence_over_limit=1

mean viol/100w across 12 prompts: 2.51
